attendance_id,student_id,school_id,attendance_month,possible_days,attended_days,absence_reason
ATT202406000001,STU000001,SCH015,2024-06-01,21,19,Other
ATT202406000002,STU000002,SCH021,2024-06-01,18,14,Medical
ATT202406000003,STU000003,SCH002,2024-06-01,19,14,Family
ATT202406000004,STU000004,SCH040,2024-06-01,19,16,Illness
ATT202406000005,STU000005,SCH043,2024-06-01,19,15,Medical
ATT202406000006,STU000006,SCH047,2024-06-01,22,20,Illness
ATT202406000007,STU000007,SCH031,2024-06-01,22,19,Other
ATT202406000008,STU000008,SCH042,2024-06-01,21,17,Medical
ATT202406000009,STU000009,SCH001,2024-06-01,22,17,Unauthorised
ATT202406000010,STU000010,SCH043,2024-06-01,18,15,Illness
ATT202406000011,STU000011,SCH038,2024-06-01,22,18,Family
ATT202406000012,STU000012,SCH020,2024-06-01,22,17,Unauthorised
ATT202406000013,STU000013,SCH045,2024-06-01,22,18,Medical
ATT202406000014,STU000014,SCH029,2024-06-01,18,15,Medical
ATT202406000015,STU000015,SCH006,2024-06-01,19,18,Other
ATT202406000016,STU000016,SCH005,2024-06-01,20,17,Medical
ATT202406000017,STU000017,SCH034,2024-06-01,22,18,Illness
ATT202406000018,STU000018,SCH025,2024-06-01,18,16,Family
ATT202406000019,STU000019,SCH005,2024-06-01,21,19,Medical
ATT202406000020,STU000020,SCH027,2024-06-01,22,18,Illness
ATT202406000021,STU000021,SCH002,2024-06-01,22,17,Other
ATT202406000022,STU000022,SCH041,2024-06-01,21,19,Family
ATT202406000023,STU000023,SCH027,2024-06-01,22,18,Illness
ATT202406000024,STU000024,SCH032,2024-06-01,18,16,Unauthorised
ATT202406000025,STU000025,SCH020,2024-06-01,19,16,Family
ATT202406000026,STU000026,SCH036,2024-06-01,20,17,Unauthorised
ATT202406000027,STU000027,SCH023,2024-06-01,20,17,Other
ATT202406000028,STU000028,SCH005,2024-06-01,19,17,Medical
ATT202406000029,STU000029,SCH024,2024-06-01,19,16,Illness
ATT202406000030,STU000030,SCH028,2024-06-01,18,14,Family
ATT202406000031,STU000031,SCH021,2024-06-01,21,17,Illness
ATT202406000032,STU000032,SCH014,2024-06-01,22,18,Medical
ATT202406000033,STU000033,SCH040,2024-06-01,20,19,Medical
ATT202406000034,STU000034,SCH009,2024-06-01,22,18,Other
ATT202406000035,STU000035,SCH011,2024-06-01,22,20,Illness
ATT202406000036,STU000036,SCH029,2024-06-01,18,14,Unauthorised
ATT202406000037,STU000037,SCH036,2024-06-01,20,17,Illness
