assessment_id,student_id,school_id,assessment_year,domain,score,proficiency_band
ASM2024REA000001,STU000001,SCH015,2024,Reading,482,Medium
ASM2024NUM000001,STU000001,SCH015,2024,Numeracy,422,Medium
ASM2024WRI000001,STU000001,SCH015,2024,Writing,489,Medium
ASM2024REA000002,STU000002,SCH021,2024,Reading,432,Medium
ASM2024NUM000002,STU000002,SCH021,2024,Numeracy,392,Low
ASM2024WRI000002,STU000002,SCH021,2024,Writing,377,Low
ASM2024REA000003,STU000003,SCH002,2024,Reading,420,Medium
ASM2024NUM000003,STU000003,SCH002,2024,Numeracy,401,Medium
ASM2024WRI000003,STU000003,SCH002,2024,Writing,401,Medium
ASM2024REA000004,STU000004,SCH040,2024,Reading,435,Medium
ASM2024NUM000004,STU000004,SCH040,2024,Numeracy,459,Medium
ASM2024WRI000004,STU000004,SCH040,2024,Writing,438,Medium
ASM2024REA000005,STU000005,SCH043,2024,Reading,438,Medium
ASM2024NUM000005,STU000005,SCH043,2024,Numeracy,413,Medium
ASM2024WRI000005,STU000005,SCH043,2024,Writing,418,Medium
ASM2024REA000006,STU000006,SCH047,2024,Reading,410,Medium
ASM2024NUM000006,STU000006,SCH047,2024,Numeracy,502,Medium
ASM2024WRI000006,STU000006,SCH047,2024,Writing,484,Medium
ASM2024REA000007,STU000007,SCH031,2024,Reading,452,Medium
ASM2024NUM000007,STU000007,SCH031,2024,Numeracy,510,Medium
ASM2024WRI000007,STU000007,SCH031,2024,Writing,453,Medium
ASM2024REA000008,STU000008,SCH042,2024,Reading,380,Low
ASM2024NUM000008,STU000008,SCH042,2024,Numeracy,361,Low
ASM2024WRI000008,STU000008,SCH042,2024,Writing,406,Medium
ASM2024REA000009,STU000009,SCH001,2024,Reading,449,Medium
ASM2024NUM000009,STU000009,SCH001,2024,Numeracy,482,Medium
ASM2024WRI000009,STU000009,SCH001,2024,Writing,444,Medium
ASM2024REA000010,STU000010,SCH043,2024,Reading,411,Medium
ASM2024NUM000010,STU000010,SCH043,2024,Numeracy,419,Medium
ASM2024WRI000010,STU000010,SCH043,2024,Writing,394,Low
ASM2024REA000011,STU000011,SCH038,2024,Reading,411,Medium
ASM2024NUM000011,STU000011,SCH038,2024,Numeracy,399,Low
ASM2024WRI000011,STU000011,SCH038,2024,Writing,460,Medium
ASM2024REA000012,STU000012,SCH020,2024,Reading,366,Low
ASM2024NUM000012,STU000012,SCH020,2024,Numeracy,329,Low
ASM2024WRI000012,STU000012,SCH020,2024,Writing,313,Low
ASM2024REA000013,STU000013,SCH045,2024,Reading,375,Low
ASM2024NUM000013,STU000013,SCH045,2024,Numeracy,362,Low
ASM2024WRI000013,STU000013,SCH045,2024,Writing,333,Low
ASM2024REA000014,STU000014,SCH029,2024,Reading,365,Low
