student_id,school_id,year_level,gender,enrolment_date,status
STU004378,SCH027,8,Male,2022-03-25,Active
STU010550,SCH046,5,Female,2025-01-01,Active
STU002778,SCH027,9,Male,2020-04-23,Active
STU009811,SCH014,5,Male,2019-11-12,Active
STU008978,SCH049,12,Female,2022-04-13,Active
STU010116,SCH021,6,Female,2024-06-01,Active
STU008738,SCH010,11,Female,2021-12-20,Active
STU008583,SCH045,7,Female,2023-12-05,Active
STU004623,SCH037,5,Female,2019-06-08,Active
STU000566,SCH045,9,Female,2019-10-31,Active
STU007067,SCH040,4,Male,2021-08-29,Active
STU002372,SCH014,3,Female,2023-12-04,Active
STU002977,SCH012,7,Female,2019-08-11,Active
STU003857,SCH031,5,Male,2023-10-28,Active
STU001301,SCH046,7,Female,2022-12-10,Active
STU006577,SCH031,10,Male,2020-09-20,Active
STU010514,SCH047,0,Female,2025-01-01,Active
STU005743,SCH009,9,Female,2018-06-21,Active
STU004295,SCH032,7,Female,2020-08-29,Left
STU005177,SCH022,12,Male,2022-09-12,Left
STU001928,SCH008,4,Male,2023-10-23,Left
STU010869,SCH004,5,Male,2025-07-01,Left
STU000840,SCH001,12,Female,2023-04-01,Left
STU005027,SCH018,2,Male,2022-01-03,Left
STU000629,SCH007,3,Male,2020-10-24,Left
STU001195,SCH049,12,Female,2020-07-12,Left
STU010550,SCH046,5,Female,2025-01-01,Left
STU007751,SCH029,7,Female,2018-03-06,Left
STU010976,SCH025,0,Female,2025-12-01,Active
STU010977,SCH037,0,Female,2025-12-01,Active
STU010978,SCH031,0,Female,2025-12-01,Active
STU010979,SCH015,1,Female,2025-12-01,Active
STU010980,SCH010,0,Female,2025-12-01,Active
STU010981,SCH026,4,Male,2025-12-01,Active
STU010982,SCH031,11,Female,2025-12-01,Active
STU010983,SCH024,11,Female,2025-12-01,Active
STU010984,SCH002,12,Male,2025-12-01,Active
STU010985,SCH021,0,Female,2025-12-01,Active
STU010986,SCH006,0,Male,2025-12-01,Active
STU010987,SCH021,11,Female,2025-12-01,Active
STU010988,SCH031,11,Male,2025-12-01,Active
STU010989,SCH048,0,Male,2025-12-01,Active
STU010990,SCH005,0,Female,2025-12-01,Active
STU010991,SCH013,1,Male,2025-12-01,Active
STU010992,SCH009,7,Male,2025-12-01,Active
STU010993,SCH013,2,Female,2025-12-01,Active
STU010994,SCH044,8,Female,2025-12-01,Active
STU010995,SCH030,6,Female,2025-12-01,Active
STU010996,SCH010,0,Male,2025-12-01,Active
STU010997,SCH030,6,Male,2025-12-01,Active
STU010998,SCH016,0,Male,2025-12-01,Active
STU010999,SCH031,0,Female,2025-12-01,Active
STU011000,SCH022,12,Male,2025-12-01,Active
