attendance_id,student_id,school_id,attendance_month,possible_days,attended_days,absence_reason
ATT202500000001,STU000001,SCH009,2025-01-01,0,0,
ATT202500000002,STU000001,SCH009,2025-02-01,19,16,Unauthorised
ATT202500000003,STU000001,SCH009,2025-03-01,22,22,
ATT202500000004,STU000001,SCH009,2025-04-01,22,20,Other
ATT202500000005,STU000001,SCH009,2025-05-01,21,21,
ATT202500000006,STU000001,SCH009,2025-06-01,19,16,Other
ATT202500000007,STU000001,SCH009,2025-07-01,21,20,Family
ATT202500000008,STU000001,SCH009,2025-08-01,21,19,Family
ATT202500000009,STU000001,SCH009,2025-09-01,19,13,Family
ATT202500000010,STU000001,SCH009,2025-10-01,22,16,Medical
ATT202500000011,STU000001,SCH009,2025-11-01,22,19,Family
ATT202500000012,STU000001,SCH009,2025-12-01,14,8,Other
ATT202500000013,STU000002,SCH001,2025-01-01,0,0,
ATT202500000014,STU000002,SCH001,2025-02-01,20,15,Medical
ATT202500000015,STU000002,SCH001,2025-03-01,18,16,Family
ATT202500000016,STU000002,SCH001,2025-04-01,19,17,Family
ATT202500000017,STU000002,SCH001,2025-05-01,19,13,Unauthorised
ATT202500000018,STU000002,SCH001,2025-06-01,18,16,Illness
ATT202500000019,STU000002,SCH001,2025-07-01,18,13,Unauthorised
ATT202500000020,STU000002,SCH001,2025-08-01,20,16,Unauthorised
ATT202500000021,STU000002,SCH001,2025-09-01,20,16,Family
ATT202500000022,STU000002,SCH001,2025-10-01,19,15,Other
ATT202500000023,STU000002,SCH001,2025-11-01,18,16,Other
ATT202500000024,STU000002,SCH001,2025-12-01,11,9,Other
ATT202500000025,STU000003,SCH007,2025-01-01,0,0,
ATT202500000026,STU000003,SCH007,2025-02-01,20,15,Illness
ATT202500000027,STU000003,SCH007,2025-03-01,20,14,Illness
ATT202500000028,STU000003,SCH007,2025-04-01,22,19,Medical
ATT202500000029,STU000003,SCH007,2025-05-01,22,18,Family
ATT202500000030,STU000003,SCH007,2025-06-01,22,21,Other
ATT202500000031,STU000003,SCH007,2025-07-01,21,17,Medical
ATT202500000032,STU000003,SCH007,2025-08-01,21,20,Illness
ATT202500000033,STU000003,SCH007,2025-09-01,21,18,Medical
ATT202500000034,STU000003,SCH007,2025-10-01,19,18,Other
ATT202500000035,STU000003,SCH007,2025-11-01,20,17,Illness
ATT202500000036,STU000003,SCH007,2025-12-01,12,7,Medical
ATT202500000037,STU000004,SCH047,2025-01-01,0,0,
ATT202500000038,STU000004,SCH047,2025-02-01,20,15,Other
ATT202500000039,STU000004,SCH047,2025-03-01,21,18,Family
ATT202500000040,STU000004,SCH047,2025-04-01,18,16,Illness
ATT202500000041,STU000004,SCH047,2025-05-01,21,21,
ATT202500000042,STU000004,SCH047,2025-06-01,20,18,Unauthorised
ATT202500000043,STU000004,SCH047,2025-07-01,20,19,Other
ATT202500000044,STU000004,SCH047,2025-08-01,19,13,Family
ATT202500000045,STU000004,SCH047,2025-09-01,22,20,Illness
ATT202500000046,STU000004,SCH047,2025-10-01,20,20,
ATT202500000047,STU000004,SCH047,2025-11-01,20,15,Medical
ATT202500000048,STU000004,SCH047,2025-12-01,11,5,Medical
ATT202500000049,STU000005,SCH047,2025-01-01,0,0,
ATT202500000050,STU000005,SCH047,2025-02-01,21,16,Other
ATT202500000051,STU000005,SCH047,2025-03-01,19,19,
ATT202500000052,STU000005,SCH047,2025-04-01,21,21,
ATT202500000053,STU000005,SCH047,2025-05-01,22,16,Illness
ATT202500000054,STU000005,SCH047,2025-06-01,21,19,Unauthorised
ATT202500000055,STU000005,SCH047,2025-07-01,20,16,Illness
ATT202500000056,STU000005,SCH047,2025-08-01,21,21,
ATT202500000057,STU000005,SCH047,2025-09-01,20,19,Other
ATT202500000058,STU000005,SCH047,2025-10-01,18,18,
ATT202500000059,STU000005,SCH047,2025-11-01,20,16,Unauthorised
ATT202500000060,STU000005,SCH047,2025-12-01,12,9,Unauthorised
ATT202500000061,STU000006,SCH049,2025-01-01,0,0,
ATT202500000062,STU000006,SCH049,2025-02-01,20,17,Medical
ATT202500000063,STU000006,SCH049,2025-03-01,19,13,Illness
ATT202500000064,STU000006,SCH049,2025-04-01,21,18,Family
ATT202500000065,STU000006,SCH049,2025-05-01,20,17,Other
ATT202500000066,STU000006,SCH049,2025-06-01,22,17,Family
ATT202500000067,STU000006,SCH049,2025-07-01,21,21,
ATT202500000068,STU000006,SCH049,2025-08-01,21,16,Other
ATT202500000069,STU000006,SCH049,2025-09-01,22,22,
ATT202500000070,STU000006,SCH049,2025-10-01,21,20,Medical
ATT202500000071,STU000006,SCH049,2025-11-01,22,17,Medical
ATT202500000072,STU000006,SCH049,2025-12-01,14,14,
ATT202500000073,STU000007,SCH037,2025-01-01,0,0,
ATT202500000074,STU000007,SCH037,2025-02-01,19,14,Illness
ATT202500000075,STU000007,SCH037,2025-03-01,18,14,Unauthorised
ATT202500000076,STU000007,SCH037,2025-04-01,22,22,
ATT202500000077,STU000007,SCH037,2025-05-01,22,16,Other
ATT202500000078,STU000007,SCH037,2025-06-01,20,17,Unauthorised
ATT202500000079,STU000007,SCH037,2025-07-01,19,17,Medical
ATT202500000080,STU000007,SCH037,2025-08-01,19,16,Family
ATT202500000081,STU000007,SCH037,2025-09-01,18,16,Illness
ATT202500000082,STU000007,SCH037,2025-10-01,22,21,Medical
ATT202500000083,STU000007,SCH037,2025-11-01,20,19,Unauthorised
ATT202500000084,STU000007,SCH037,2025-12-01,12,12,
ATT202500000085,STU000008,SCH036,2025-01-01,0,0,
ATT202500000086,STU000008,SCH036,2025-02-01,20,19,Unauthorised
ATT202500000087,STU000008,SCH036,2025-03-01,22,20,Illness
ATT202500000088,STU000008,SCH036,2025-04-01,18,17,Medical
ATT202500000089,STU000008,SCH036,2025-05-01,21,18,Other
ATT202500000090,STU000008,SCH036,2025-06-01,20,20,
ATT202500000091,STU000008,SCH036,2025-07-01,18,17,Medical
ATT202500000092,STU000008,SCH036,2025-08-01,21,21,
ATT202500000093,STU000008,SCH036,2025-09-01,20,19,Illness
ATT202500000094,STU000008,SCH036,2025-10-01,21,19,Illness
ATT202500000095,STU000008,SCH036,2025-11-01,19,13,Illness
ATT202500000096,STU000008,SCH036,2025-12-01,14,12,Family
ATT202500000097,STU000009,SCH027,2025-01-01,0,0,
ATT202500000098,STU000009,SCH027,2025-02-01,18,17,Other
ATT202500000099,STU000009,SCH027,2025-03-01,18,13,Unauthorised
ATT202500000100,STU000009,SCH027,2025-04-01,21,19,Family
ATT202500000101,STU000009,SCH027,2025-05-01,18,17,Family
ATT202500000102,STU000009,SCH027,2025-06-01,19,14,Medical
ATT202500000103,STU000009,SCH027,2025-07-01,20,19,Family
ATT202500000104,STU000009,SCH027,2025-08-01,21,17,Other
ATT202500000105,STU000009,SCH027,2025-09-01,18,12,Other
ATT202500000106,STU000009,SCH027,2025-10-01,20,18,Illness
ATT202500000107,STU000009,SCH027,2025-11-01,21,15,Medical
ATT202500000108,STU000009,SCH027,2025-12-01,15,15,
ATT202500000109,STU000010,SCH031,2025-01-01,0,0,
ATT202500000110,STU000010,SCH031,2025-02-01,19,16,Other
ATT202500000111,STU000010,SCH031,2025-03-01,20,14,Other
ATT202500000112,STU000010,SCH031,2025-04-01,19,14,Medical
ATT202500000113,STU000010,SCH031,2025-05-01,19,18,Family
ATT202500000114,STU000010,SCH031,2025-06-01,21,16,Illness
ATT202500000115,STU000010,SCH031,2025-07-01,19,16,Family
ATT202500000116,STU000010,SCH031,2025-08-01,19,13,Family
ATT202500000117,STU000010,SCH031,2025-09-01,19,13,Family
ATT202500000118,STU000010,SCH031,2025-10-01,22,19,Family
ATT202500000119,STU000010,SCH031,2025-11-01,22,20,Family
ATT202500000120,STU000010,SCH031,2025-12-01,10,9,Other
ATT202500000121,STU000011,SCH040,2025-01-01,0,0,
ATT202500000122,STU000011,SCH040,2025-02-01,19,17,Other
ATT202500000123,STU000011,SCH040,2025-03-01,20,16,Unauthorised
ATT202500000124,STU000011,SCH040,2025-04-01,20,14,Other
ATT202500000125,STU000011,SCH040,2025-05-01,22,17,Medical
ATT202500000126,STU000011,SCH040,2025-06-01,22,21,Medical
ATT202500000127,STU000011,SCH040,2025-07-01,21,17,Other
ATT202500000128,STU000011,SCH040,2025-08-01,22,17,Unauthorised
ATT202500000129,STU000011,SCH040,2025-09-01,22,16,Family
ATT202500000130,STU000011,SCH040,2025-10-01,20,19,Illness
ATT202500000131,STU000011,SCH040,2025-11-01,19,17,Medical
ATT202500000132,STU000011,SCH040,2025-12-01,14,8,Medical
ATT202500000133,STU000012,SCH045,2025-01-01,0,0,
ATT202500000134,STU000012,SCH045,2025-02-01,21,18,Medical
ATT202500000135,STU000012,SCH045,2025-03-01,22,22,
ATT202500000136,STU000012,SCH045,2025-04-01,18,17,Family
ATT202500000137,STU000012,SCH045,2025-05-01,21,19,Other
ATT202500000138,STU000012,SCH045,2025-06-01,21,17,Illness
ATT202500000139,STU000012,SCH045,2025-07-01,19,16,Unauthorised
ATT202500000140,STU000012,SCH045,2025-08-01,22,20,Unauthorised
ATT202500000141,STU000012,SCH045,2025-09-01,19,19,
ATT202500000142,STU000012,SCH045,2025-10-01,22,21,Family
ATT202500000143,STU000012,SCH045,2025-11-01,20,17,Family
ATT202500000144,STU000012,SCH045,2025-12-01,13,9,Unauthorised
ATT202500000145,STU000014,SCH038,2025-01-01,0,0,
ATT202500000146,STU000014,SCH038,2025-02-01,18,18,
ATT202500000147,STU000014,SCH038,2025-03-01,22,19,Illness
ATT202500000148,STU000014,SCH038,2025-04-01,22,18,Medical
ATT202500000149,STU000014,SCH038,2025-05-01,21,16,Family
ATT202500000150,STU000014,SCH038,2025-06-01,18,13,Unauthorised
ATT202500000151,STU000014,SCH038,2025-07-01,22,20,Illness
ATT202500000152,STU000014,SCH038,2025-08-01,21,20,Medical
ATT202500000153,STU000014,SCH038,2025-09-01,22,19,Unauthorised
ATT202500000154,STU000014,SCH038,2025-10-01,21,18,Medical
ATT202500000155,STU000014,SCH038,2025-11-01,21,16,Medical
ATT202500000156,STU000014,SCH038,2025-12-01,13,10,Family
ATT202500000157,STU000015,SCH038,2025-01-01,0,0,
ATT202500000158,STU000015,SCH038,2025-02-01,21,15,Illness
ATT202500000159,STU000015,SCH038,2025-03-01,22,22,
ATT202500000160,STU000015,SCH038,2025-04-01,19,14,Other
ATT202500000161,STU000015,SCH038,2025-05-01,22,20,Other
