student_id,school_id,year_level,gender,enrolment_date,status
STU005963,SCH027,7,Female,2019-09-28,Active
STU007110,SCH004,0,Female,2019-11-19,Active
STU001294,SCH015,5,Male,2019-10-30,Active
STU003814,SCH011,0,Male,2020-03-28,Active
STU009182,SCH003,1,Male,2019-01-10,Active
STU007673,SCH028,6,Male,2018-03-09,Active
STU007213,SCH033,1,Female,2021-05-21,Active
STU008332,SCH026,2,Male,2021-11-16,Active
STU004993,SCH021,7,Male,2018-10-11,Active
STU007978,SCH024,12,Male,2019-09-27,Active
STU001592,SCH015,2,Male,2019-09-29,Active
STU005080,SCH031,8,Female,2019-12-12,Active
STU000465,SCH021,7,Female,2023-06-09,Active
STU002756,SCH015,3,Male,2023-06-15,Active
STU005129,SCH041,4,Female,2018-09-25,Active
STU005665,SCH049,11,Male,2021-12-30,Active
STU005831,SCH015,4,Female,2018-09-23,Active
STU006216,SCH049,12,Male,2022-05-26,Active
STU005097,SCH030,1,Male,2023-10-12,Left
STU007168,SCH023,8,Male,2023-12-03,Left
STU006601,SCH003,2,Non-specified,2020-07-15,Left
STU003560,SCH042,11,Male,2020-04-08,Left
STU008890,SCH001,12,Male,2021-12-18,Left
STU007481,SCH022,12,Female,2019-11-02,Left
STU003512,SCH020,6,Female,2020-08-16,Left
STU008926,SCH003,1,Female,2020-04-30,Left
STU008369,SCH038,5,Male,2021-08-08,Left
STU005966,SCH023,10,Male,2023-11-29,Left
STU010126,SCH037,0,Male,2024-07-01,Active
STU010127,SCH035,9,Female,2024-07-01,Active
STU010128,SCH010,11,Female,2024-07-01,Active
STU010129,SCH003,0,Male,2024-07-01,Active
STU010130,SCH035,7,Male,2024-07-01,Active
STU010131,SCH015,0,Male,2024-07-01,Active
STU010132,SCH043,7,Female,2024-07-01,Active
STU010133,SCH036,0,Male,2024-07-01,Active
STU010134,SCH010,1,Male,2024-07-01,Active
STU010135,SCH039,0,Male,2024-07-01,Active
STU010136,SCH042,12,Female,2024-07-01,Active
STU010137,SCH009,10,Female,2024-07-01,Active
STU010138,SCH041,0,Female,2024-07-01,Active
STU010139,SCH008,0,Male,2024-07-01,Active
STU010140,SCH043,10,Female,2024-07-01,Active
STU010141,SCH012,10,Female,2024-07-01,Active
STU010142,SCH046,0,Female,2024-07-01,Active
STU010143,SCH021,0,Male,2024-07-01,Active
STU010144,SCH004,3,Female,2024-07-01,Active
STU010145,SCH019,1,Female,2024-07-01,Active
STU010146,SCH010,5,Female,2024-07-01,Active
STU010147,SCH046,7,Male,2024-07-01,Active
STU010148,SCH046,3,Female,2024-07-01,Active
STU010149,SCH012,8,Female,2024-07-01,Active
STU010150,SCH031,10,Female,2024-07-01,Active
