assessment_id,student_id,school_id,assessment_year,domain,score,proficiency_band
ASM00000001,STU000001,SCH009,2024,Reading,460,Medium
ASM00000002,STU000001,SCH009,2024,Numeracy,397,Low
ASM00000003,STU000001,SCH009,2024,Writing,365,Low
ASM00000004,STU000002,SCH016,2024,Reading,449,Medium
ASM00000005,STU000002,SCH016,2024,Numeracy,449,Medium
ASM00000006,STU000002,SCH016,2024,Writing,419,Medium
ASM00000007,STU000003,SCH007,2024,Reading,447,Medium
ASM00000008,STU000003,SCH007,2024,Numeracy,467,Medium
ASM00000009,STU000003,SCH007,2024,Writing,399,Low
ASM00000010,STU000004,SCH047,2024,Reading,320,Low
ASM00000011,STU000004,SCH047,2024,Numeracy,250,Low
ASM00000012,STU000004,SCH047,2024,Writing,256,Low
ASM00000013,STU000005,SCH047,2024,Reading,373,Low
ASM00000014,STU000005,SCH047,2024,Numeracy,346,Low
ASM00000015,STU000005,SCH047,2024,Writing,310,Low
ASM00000016,STU000006,SCH013,2024,Reading,555,High
ASM00000017,STU000006,SCH013,2024,Numeracy,490,Medium
ASM00000018,STU000006,SCH013,2024,Writing,591,High
ASM00000019,STU000007,SCH016,2024,Reading,460,Medium
ASM00000020,STU000007,SCH016,2024,Numeracy,498,Medium
ASM00000021,STU000007,SCH016,2024,Writing,495,Medium
ASM00000022,STU000008,SCH036,2024,Reading,300,Low
ASM00000023,STU000008,SCH036,2024,Numeracy,326,Low
ASM00000024,STU000008,SCH036,2024,Writing,253,Low
ASM00000025,STU000009,SCH006,2024,Reading,509,Medium
ASM00000026,STU000009,SCH006,2024,Numeracy,409,Medium
ASM00000027,STU000009,SCH006,2024,Writing,404,Medium
ASM00000028,STU000010,SCH031,2024,Reading,350,Low
ASM00000029,STU000010,SCH031,2024,Numeracy,357,Low
ASM00000030,STU000010,SCH031,2024,Writing,318,Low
ASM00000031,STU000011,SCH001,2024,Reading,537,Medium
ASM00000032,STU000011,SCH001,2024,Numeracy,540,Medium
ASM00000033,STU000011,SCH001,2024,Writing,591,High
ASM00000034,STU000012,SCH045,2024,Reading,393,Low
ASM00000035,STU000012,SCH045,2024,Numeracy,425,Medium
ASM00000036,STU000012,SCH045,2024,Writing,368,Low
ASM00000037,STU000013,SCH032,2024,Reading,381,Low
ASM00000038,STU000013,SCH032,2024,Numeracy,319,Low
ASM00000039,STU000013,SCH032,2024,Writing,355,Low
ASM00000040,STU000014,SCH038,2024,Reading,387,Low
ASM00000041,STU000014,SCH038,2024,Numeracy,475,Medium
ASM00000042,STU000014,SCH038,2024,Writing,382,Low
ASM00000043,STU000015,SCH038,2024,Reading,423,Medium
ASM00000044,STU000015,SCH038,2024,Numeracy,352,Low
ASM00000045,STU000015,SCH038,2024,Writing,405,Medium
ASM00000046,STU000016,SCH033,2024,Reading,267,Low
ASM00000047,STU000016,SCH033,2024,Numeracy,356,Low
ASM00000048,STU000016,SCH033,2024,Writing,352,Low
ASM00000049,STU000017,SCH044,2024,Reading,560,High
ASM00000050,STU000017,SCH044,2024,Numeracy,522,Medium
ASM00000051,STU000017,SCH044,2024,Writing,623,High
ASM00000052,STU000018,SCH039,2024,Reading,619,High
ASM00000053,STU000018,SCH039,2024,Numeracy,635,High
ASM00000054,STU000018,SCH039,2024,Writing,620,High
ASM00000055,STU000019,SCH037,2024,Reading,532,Medium
ASM00000056,STU000019,SCH037,2024,Numeracy,567,High
ASM00000057,STU000019,SCH037,2024,Writing,464,Medium
ASM00000058,STU000020,SCH021,2024,Reading,314,Low
ASM00000059,STU000020,SCH021,2024,Numeracy,375,Low
ASM00000060,STU000020,SCH021,2024,Writing,359,Low
ASM00000061,STU000021,SCH020,2024,Reading,409,Medium
ASM00000062,STU000021,SCH020,2024,Numeracy,389,Low
ASM00000063,STU000021,SCH020,2024,Writing,421,Medium
ASM00000064,STU000022,SCH040,2024,Reading,598,High
ASM00000065,STU000022,SCH040,2024,Numeracy,569,High
ASM00000066,STU000022,SCH040,2024,Writing,557,High
ASM00000067,STU000023,SCH009,2024,Reading,398,Low
ASM00000068,STU000023,SCH009,2024,Numeracy,361,Low
ASM00000069,STU000023,SCH009,2024,Writing,371,Low
ASM00000070,STU000024,SCH011,2024,Reading,483,Medium
ASM00000071,STU000024,SCH011,2024,Numeracy,510,Medium
ASM00000072,STU000024,SCH011,2024,Writing,414,Medium
ASM00000073,STU000025,SCH042,2024,Reading,423,Medium
ASM00000074,STU000025,SCH042,2024,Numeracy,357,Low
ASM00000075,STU000025,SCH042,2024,Writing,419,Medium
ASM00000076,STU000026,SCH043,2024,Reading,324,Low
ASM00000077,STU000026,SCH043,2024,Numeracy,353,Low
ASM00000078,STU000026,SCH043,2024,Writing,250,Low
ASM00000079,STU000027,SCH007,2024,Reading,428,Medium
ASM00000080,STU000027,SCH007,2024,Numeracy,484,Medium
ASM00000081,STU000027,SCH007,2024,Writing,363,Low
ASM00000082,STU000028,SCH014,2024,Reading,533,Medium
ASM00000083,STU000028,SCH014,2024,Numeracy,579,High
ASM00000084,STU000028,SCH014,2024,Writing,568,High
ASM00000085,STU000029,SCH017,2024,Reading,537,Medium
ASM00000086,STU000029,SCH017,2024,Numeracy,431,Medium
ASM00000087,STU000029,SCH017,2024,Writing,441,Medium
ASM00000088,STU000030,SCH003,2024,Reading,306,Low
ASM00000089,STU000030,SCH003,2024,Numeracy,316,Low
ASM00000090,STU000030,SCH003,2024,Writing,260,Low
ASM00000091,STU000031,SCH017,2024,Reading,531,Medium
ASM00000092,STU000031,SCH017,2024,Numeracy,478,Medium
ASM00000093,STU000031,SCH017,2024,Writing,539,Medium
