attendance_id,student_id,school_id,attendance_month,possible_days,attended_days,absence_reason
ATT202405000001,STU000001,SCH015,2024-05-01,22,20,Unauthorised
ATT202405000002,STU000002,SCH021,2024-05-01,22,20,Other
ATT202405000003,STU000003,SCH002,2024-05-01,22,18,Family
ATT202405000004,STU000004,SCH040,2024-05-01,20,19,Illness
ATT202405000005,STU000005,SCH043,2024-05-01,22,19,Unauthorised
ATT202405000006,STU000006,SCH047,2024-05-01,22,20,Unauthorised
ATT202405000007,STU000007,SCH031,2024-05-01,22,20,Illness
ATT202405000008,STU000008,SCH042,2024-05-01,20,16,Illness
ATT202405000009,STU000009,SCH001,2024-05-01,19,18,Illness
ATT202405000010,STU000010,SCH043,2024-05-01,20,19,Unauthorised
ATT202405000011,STU000011,SCH038,2024-05-01,19,17,Illness
ATT202405000012,STU000012,SCH020,2024-05-01,19,16,Other
ATT202405000013,STU000013,SCH045,2024-05-01,18,17,Medical
ATT202405000014,STU000014,SCH029,2024-05-01,20,18,Medical
ATT202405000015,STU000015,SCH006,2024-05-01,19,19,
ATT202405000016,STU000016,SCH005,2024-05-01,22,21,Illness
ATT202405000017,STU000017,SCH034,2024-05-01,21,16,Medical
ATT202405000018,STU000018,SCH025,2024-05-01,21,21,
ATT202405000019,STU000019,SCH005,2024-05-01,20,19,Family
ATT202405000020,STU000020,SCH027,2024-05-01,18,17,Family
ATT202405000021,STU000021,SCH002,2024-05-01,20,16,Family
ATT202405000022,STU000022,SCH041,2024-05-01,21,19,Illness
ATT202405000023,STU000023,SCH027,2024-05-01,18,16,Illness
ATT202405000024,STU000024,SCH032,2024-05-01,22,21,Family
ATT202405000025,STU000025,SCH020,2024-05-01,21,18,Unauthorised
ATT202405000026,STU000026,SCH036,2024-05-01,21,21,
ATT202405000027,STU000027,SCH023,2024-05-01,22,20,Medical
ATT202405000028,STU000028,SCH005,2024-05-01,18,17,Illness
ATT202405000029,STU000029,SCH024,2024-05-01,18,16,Illness
ATT202405000030,STU000030,SCH028,2024-05-01,19,17,Family
ATT202405000031,STU000031,SCH021,2024-05-01,20,18,Other
ATT202405000032,STU000032,SCH014,2024-05-01,18,16,Medical
ATT202405000033,STU000033,SCH040,2024-05-01,20,20,
ATT202405000034,STU000034,SCH009,2024-05-01,22,19,Family
ATT202405000035,STU000035,SCH011,2024-05-01,19,18,Unauthorised
ATT202405000036,STU000036,SCH029,2024-05-01,19,16,Illness
ATT202405000037,STU000037,SCH036,2024-05-01,19,16,Family
ATT202405000038,STU000038,SCH008,2024-05-01,22,20,Other
ATT202405000039,STU000039,SCH014,2024-05-01,18,17,Family
ATT202405000040,STU000040,SCH008,2024-05-01,21,19,Other
ATT202405000041,STU000041,SCH013,2024-05-01,21,20,Medical
ATT202405000042,STU000042,SCH049,2024-05-01,20,16,Illness
ATT202405000043,STU000043,SCH038,2024-05-01,19,18,Illness
ATT202405000045,STU000045,SCH009,2024-05-01,21,19,Family
ATT202405000046,STU000046,SCH045,2024-05-01,19,16,Illness
ATT202405000047,STU000047,SCH029,2024-05-01,22,20,Family
ATT202405000048,STU000048,SCH022,2024-05-01,22,21,Other
ATT202405000049,STU000049,SCH037,2024-05-01,22,20,Unauthorised
ATT202405000050,STU000050,SCH027,2024-05-01,22,20,Other
ATT202405000051,STU000051,SCH017,2024-05-01,19,16,Other
ATT202405000052,STU000052,SCH005,2024-05-01,21,19,Illness
ATT202405000053,STU000053,SCH043,2024-05-01,20,17,Unauthorised
ATT202405000054,STU000054,SCH045,2024-05-01,21,19,Illness
ATT202405000055,STU000055,SCH030,2024-05-01,19,17,Family
ATT202405000056,STU000056,SCH048,2024-05-01,19,18,Illness
ATT202405000057,STU000057,SCH021,2024-05-01,20,19,Medical
ATT202405000058,STU000058,SCH002,2024-05-01,19,15,Family
ATT202405000059,STU000059,SCH034,2024-05-01,21,17,Family
ATT202405000060,STU000060,SCH012,2024-05-01,22,20,Unauthorised
ATT202405000061,STU000061,SCH009,2024-05-01,22,19,Medical
ATT202405000062,STU000062,SCH018,2024-05-01,20,18,Family
ATT202405000063,STU000063,SCH022,2024-05-01,19,14,Unauthorised
ATT202405000064,STU000064,SCH029,2024-05-01,22,19,Other
ATT202405000065,STU000065,SCH027,2024-05-01,19,18,Other
ATT202405000066,STU000066,SCH010,2024-05-01,18,16,Unauthorised
ATT202405000067,STU000067,SCH034,2024-05-01,19,13,Illness
ATT202405000068,STU000068,SCH010,2024-05-01,21,21,
ATT202405000069,STU000069,SCH021,2024-05-01,19,17,Medical
ATT202405000070,STU000070,SCH047,2024-05-01,22,20,Family
ATT202405000071,STU000071,SCH005,2024-05-01,20,19,Medical
ATT202405000072,STU000072,SCH001,2024-05-01,19,16,Other
ATT202405000073,STU000073,SCH034,2024-05-01,19,17,Other
ATT202405000074,STU000074,SCH004,2024-05-01,19,18,Illness
ATT202405000075,STU000075,SCH025,2024-05-01,22,18,Unauthorised
ATT202405000076,STU000076,SCH045,2024-05-01,20,18,Other
ATT202405000077,STU000077,SCH045,2024-05-01,18,15,Other
ATT202405000078,STU000078,SCH001,2024-05-01,21,17,Medical
ATT202405000079,STU000079,SCH004,2024-05-01,20,20,
ATT202405000080,STU000080,SCH019,2024-05-01,18,17,Medical
ATT202405000081,STU000081,SCH021,2024-05-01,22,20,Illness
ATT202405000082,STU000082,SCH016,2024-05-01,18,17,Unauthorised
ATT202405000083,STU000083,SCH038,2024-05-01,20,18,Other
ATT202405000084,STU000084,SCH003,2024-05-01,20,19,Other
ATT202405000085,STU000085,SCH013,2024-05-01,20,19,Illness
ATT202405000086,STU000086,SCH019,2024-05-01,19,17,Other
ATT202405000087,STU000087,SCH041,2024-05-01,19,16,Medical
ATT202405000088,STU000088,SCH049,2024-05-01,18,14,Medical
ATT202405000089,STU000089,SCH015,2024-05-01,22,20,Unauthorised
ATT202405000090,STU000090,SCH008,2024-05-01,19,17,Unauthorised
ATT202405000091,STU000091,SCH042,2024-05-01,21,17,Family
ATT202405000092,STU000092,SCH008,2024-05-01,20,19,Other
ATT202405000093,STU000093,SCH048,2024-05-01,20,18,Other
ATT202405000094,STU000094,SCH006,2024-05-01,19,18,Family
ATT202405000095,STU000095,SCH012,2024-05-01,20,16,Unauthorised
ATT202405000096,STU000096,SCH017,2024-05-01,19,16,Medical
ATT202405000097,STU000097,SCH022,2024-05-01,18,15,Illness
ATT202405000098,STU000098,SCH046,2024-05-01,20,18,Unauthorised
ATT202405000099,STU000099,SCH002,2024-05-01,19,17,Medical
ATT202405000100,STU000100,SCH022,2024-05-01,22,18,Other
ATT202405000101,STU000101,SCH002,2024-05-01,21,17,Family
ATT202405000102,STU000102,SCH037,2024-05-01,19,17,Other
ATT202405000103,STU000103,SCH006,2024-05-01,19,17,Unauthorised
ATT202405000104,STU000104,SCH019,2024-05-01,19,17,Other
ATT202405000105,STU000105,SCH044,2024-05-01,22,21,Medical
ATT202405000106,STU000106,SCH046,2024-05-01,18,17,Other
ATT202405000107,STU000107,SCH016,2024-05-01,22,21,Other
ATT202405000108,STU000108,SCH045,2024-05-01,21,18,Illness
ATT202405000109,STU000109,SCH008,2024-05-01,18,17,Medical
ATT202405000110,STU000110,SCH019,2024-05-01,18,16,Unauthorised
ATT202405000111,STU000111,SCH017,2024-05-01,22,18,Other
ATT202405000112,STU000112,SCH036,2024-05-01,22,21,Medical
ATT202405000113,STU000113,SCH010,2024-05-01,22,20,Other
ATT202405000114,STU000114,SCH046,2024-05-01,21,19,Medical
ATT202405000115,STU000115,SCH029,2024-05-01,18,17,Family
ATT202405000116,STU000116,SCH027,2024-05-01,22,19,Unauthorised
ATT202405000117,STU000117,SCH047,2024-05-01,19,18,Illness
ATT202405000118,STU000118,SCH012,2024-05-01,22,21,Unauthorised
ATT202405000119,STU000119,SCH040,2024-05-01,21,18,Unauthorised
ATT202405000120,STU000120,SCH049,2024-05-01,20,18,Medical
ATT202405000121,STU000121,SCH002,2024-05-01,20,17,Illness
ATT202405000122,STU000122,SCH039,2024-05-01,19,17,Medical
ATT202405000123,STU000123,SCH036,2024-05-01,21,20,Medical
ATT202405000124,STU000124,SCH029,2024-05-01,18,17,Medical
ATT202405000125,STU000125,SCH033,2024-05-01,22,20,Unauthorised
ATT202405000126,STU000126,SCH026,2024-05-01,18,18,
ATT202405000127,STU000127,SCH012,2024-05-01,21,19,Unauthorised
ATT202405000128,STU000128,SCH018,2024-05-01,18,16,Family
ATT202405000129,STU000129,SCH028,2024-05-01,20,17,Family
ATT202405000130,STU000130,SCH032,2024-05-01,21,18,Other
ATT202405000131,STU000131,SCH030,2024-05-01,22,22,
ATT202405000132,STU000132,SCH013,2024-05-01,22,21,Other
